CountryName,Continent,TotalLanguagesSpoken,PrimaryOfficialLanguage,AvgLanguageSpread
"Turks and Caicos Islands","North America",1,English,0.00
Chad,Africa,8,Arabic,11.08
Togo,Africa,8,Kabyé,8.95
Thailand,Asia,6,Thai,16.27
Tajikistan,Asia,3,Tadzhik,31.70
Tokelau,Oceania,2,English,0.00
Turkmenistan,Asia,4,Turkmenian,23.65
"East Timor",Asia,2,Portuguese,0.00
Tonga,Oceania,2,Tongan,49.15
"Trinidad and Tobago","North America",3,NULL,33.27
Tunisia,Africa,3,Arabic,33.13
Turkey,Asia,3,Turkish,33.20
Tuvalu,Oceania,3,Tuvalu,33.33
Taiwan,Asia,6,"Mandarin Chinese",16.52
Tanzania,Africa,11,Swahili,6.86
Uganda,Africa,10,NULL,7.40
Ukraine,Europe,7,Ukrainian,14.19
"United States Minor Outlying Islands",Oceania,1,English,0.00
Uruguay,"South America",1,Spanish,95.70
"United States","North America",12,English,8.16
Uzbekistan,Asia,6,Uzbek,15.92
"Holy See (Vatican City State)",Europe,1,Italian,0.00
"Saint Vincent and the Grenadines","North America",2,English,49.55
Venezuela,"South America",3,Spanish,32.47
"Virgin Islands, British","North America",1,English,0.00
"Virgin Islands, U.S.","North America",3,English,32.50
Vietnam,Asia,9,Vietnamese,10.80
Vanuatu,Oceania,3,French,33.03
"Wallis and Futuna",Oceania,2,NULL,0.00
Samoa,Oceania,3,Samoan,33.37
Yemen,Asia,2,Arabic,49.80
Yugoslavia,Europe,6,Serbo-Croatian,16.28
"South Africa",Africa,11,Zulu,8.95
Zambia,Africa,6,NULL,10.82
Zimbabwe,Africa,4,English,23.18
