code,CountryName,IndepYear,CountryPopulation,GNP,GNPOld,gnp_per_capita,gnp_delta,CapitalName,CapitalPopulation,urbanization_rate,target_high_life
EGY,Egypt,1922,68470000,82710.00,75617.00,0.001,7093.00,Cairo,6789479,0.2933,0
ESP,Spain,1492,39441700,553233.00,532031.00,0.014,21202.00,Madrid,2879052,0.4226,1
EST,Estonia,1991,1439200,5328.00,3371.00,0.004,1957.00,Tallinn,403981,0.3510,1
FIN,Finland,1917,5171300,121914.00,119833.00,0.024,2081.00,"Helsinki [Helsingfors]",555474,0.2964,1
FRA,France,843,59225700,1424285.00,1392448.00,0.024,31837.00,Paris,2125246,0.1561,1
GAB,Gabon,1960,1226000,5493.00,5279.00,0.004,214.00,Libreville,419000,0.3418,0
GBR,"United Kingdom",1066,59623400,1378330.00,1296830.00,0.023,81500.00,London,7285000,0.3763,1
GEO,Georgia,1991,4968000,6064.00,5924.00,0.001,140.00,Tbilisi,1235200,0.3786,0
GRC,Greece,1830,10545700,120724.00,119946.00,0.011,778.00,Athenai,772072,0.1871,1
GTM,Guatemala,1821,11385000,19008.00,17797.00,0.002,1211.00,"Ciudad de Guatemala",823301,0.1076,0
HND,Honduras,1838,6485000,5333.00,4697.00,0.001,636.00,Tegucigalpa,813900,0.1985,1
HRV,Croatia,1991,4473000,20208.00,19300.00,0.005,908.00,Zagreb,706770,0.2613,1
HUN,Hungary,1918,10043200,48267.00,45914.00,0.005,2353.00,Budapest,1811552,0.2941,1
